FP1,FP2,F7,F8,AF1,AF2,FZ,F4,F3,FC6,FC5,FC2,FC1,T8,T7,CZ,C3,C4,CP5,CP6,CP1,CP2,P3,P4,PZ,P8,P7,PO2,PO1,O2,O1,X,AF7,AF8,F5,F6,FT7,FT8,FPZ,FC4,FC3,C6,C5,F2,F1,TP8,TP7,AFZ,CP3,CP4,P5,P6,C1,C2,PO7,PO8,FCZ,POZ,OZ,P2,P1,CPZ,nd,Y,Class
6.704,3.337,1.912,-6.032,5.147,1.638,2.523,-3.153,3.235,-4.761,-0.916,0.305,1.455,-2.085,0.071,12.502,3.51,-7.69,-13.387,-10.752,-2.187,-0.458,-3.591,-3.418,-1.027,-7.09,-6.846,-3.927,-3.876,-5.015,-7.111,3.906,9.572,8.413,-0.641,-4.506,-6.429,-7.975,3.876,-2.584,-0.61,-6.083,1.648,1.211,3.469,-7.029,-12.115,4.079,-5.981,-3.794,-5.961,-7.131,3.855,-1.261,1.475,-16.368,2.36,-4.018,-6.042,-2.106,-3.255,-0.651,6.205,-1.923,a
4.262,2.848,3.866,-6.521,3.682,3.103,1.546,-2.665,1.282,-5.249,-2.38,0.305,0.478,-11.363,-0.905,10.549,-0.397,-3.296,-6.551,-4.893,-2.187,-0.458,-3.103,-3.906,-1.516,-9.043,-6.846,-4.903,-3.876,-6.968,-8.575,1.953,7.619,-0.376,-2.594,-2.065,-12.777,-9.44,1.923,-3.56,-2.075,-5.595,1.16,1.211,2.492,-11.912,-13.58,3.591,-4.517,-3.306,-5.961,-7.619,1.902,-0.285,-7.802,-2.207,1.872,-4.995,-7.019,-2.594,-3.255,-0.651,4.252,-4.364,a
0.844,0.895,3.377,-5.056,1.241,2.614,0.57,-2.177,-1.648,-5.249,-4.333,0.305,-0.498,-17.71,-3.835,6.154,2.533,-3.296,1.261,-7.334,-2.187,-0.946,-3.591,-4.395,-2.004,-10.997,-7.823,-6.368,-4.852,-8.921,-9.064,-0.488,2.736,-14.537,-4.547,-0.112,-12.288,-8.464,2.899,-5.514,-2.563,-6.571,-2.258,0.234,0.051,-13.865,-13.092,2.126,-2.563,-2.818,-7.426,-7.131,-1.027,-5.168,-26.357,-5.625,1.383,-5.971,-7.996,-2.594,-3.255,-0.163,1.322,-6.317,a
-0.621,-1.058,0.448,-3.103,-1.2,0.661,-0.895,-1.2,-3.601,-4.761,-4.822,-0.671,-0.987,-17.71,-8.23,0.295,3.51,-5.249,3.215,-7.334,-0.722,-0.946,-4.079,-4.395,-2.492,-11.485,-7.823,-6.856,-5.341,-9.41,-8.575,-2.441,-2.635,-24.79,-6.5,-0.112,-5.941,-6.51,4.852,-6.002,-2.075,-7.06,-5.676,-1.231,-1.414,-12.4,-11.627,0.173,-0.122,-2.818,-7.914,-7.131,1.902,-3.703,-7.314,-3.184,0.407,-6.46,-8.484,-3.082,-3.743,-0.163,-0.631,-6.805,a
0.356,-2.523,-3.947,-2.614,-1.689,-1.292,-0.895,-1.2,-3.601,-3.296,-3.357,-1.16,-0.01,-10.386,-11.159,-3.611,2.045,0.61,-8.016,-0.987,0.743,-1.434,-3.591,-4.883,-1.516,-10.02,-7.334,-6.368,-4.852,-8.921,-7.111,-2.93,-4.588,-24.302,-6.989,-2.065,0.895,-6.51,4.852,-5.025,-1.099,-7.548,-7.141,-1.231,-1.414,-8.494,-9.186,-0.804,1.831,-3.306,-6.938,-6.643,1.414,0.692,-11.22,-10.02,-0.081,-5.483,-7.507,-3.082,-3.255,0.326,0.346,-5.341,a
2.797,-3.011,-5.9,-5.544,-0.224,-1.78,0.081,-0.712,-1.648,-3.296,0.061,-1.16,0.966,-2.085,-11.648,-4.588,-3.326,0.122,-5.086,1.943,1.719,-1.923,-2.614,-4.883,-1.516,-8.067,-6.358,-4.903,-4.364,-6.968,-6.134,-1.953,-3.611,-13.56,-5.035,-4.018,3.337,-7.975,1.434,-3.56,-0.122,-6.571,-5.188,0.234,0.051,-6.541,-6.256,0.173,1.831,-4.283,-4.985,-7.131,-1.027,-0.285,-2.431,-6.114,0.407,-4.995,-6.042,-3.082,-2.279,0.326,2.299,-3.387,a
4.751,-1.546,-4.924,-7.497,2.706,-0.315,1.546,-0.712,1.282,-2.808,3.967,-1.16,1.943,2.797,-8.23,-2.146,4.486,-0.366,8.097,-3.916,1.719,-1.923,-1.638,-4.395,-1.516,-5.625,-5.381,-3.438,-3.876,-5.015,-5.646,0,-0.682,2.065,-1.129,-4.506,0.895,-9.44,-1.984,-2.584,0.854,-5.107,-2.258,1.699,2.004,-7.029,-3.815,2.614,0.854,-4.283,-3.52,-6.643,0.437,-0.773,4.893,0.234,1.383,-4.506,-5.066,-2.594,-1.79,0.326,4.252,-1.923,a
5.239,1.383,-2.97,-6.521,4.659,2.126,2.523,-1.2,3.723,-2.319,6.409,-0.671,2.431,2.309,-2.858,1.272,9.369,1.099,-1.18,-1.475,0.743,-1.923,-1.638,-3.906,-1.516,-5.137,-4.893,-3.438,-3.876,-4.527,-6.622,2.441,1.76,13.784,1.312,-5.483,-2.035,-6.999,-0.519,-2.584,2.319,-4.13,-1.282,1.699,3.469,-8.006,-1.862,4.079,-1.099,-3.306,-2.543,-5.178,1.902,0.692,-13.173,-5.625,1.872,-4.018,-5.066,-2.106,-2.279,-0.163,5.229,-1.434,a
5.239,5.778,-0.041,-0.661,4.171,3.103,2.035,-2.665,4.7,-2.319,6.409,-0.671,1.943,-1.109,1.536,4.69,-4.303,4.028,6.632,1.455,-0.722,-0.946,-2.126,-2.93,-1.516,-5.137,-3.916,-2.95,-3.876,-5.015,-7.599,3.906,3.225,17.202,0.824,-5.971,-4.476,-2.116,4.364,-2.584,3.296,-2.177,-2.258,0.234,3.469,-7.517,-0.885,4.079,-3.052,-1.353,-3.031,-3.713,-0.539,2.645,-29.287,-0.254,1.383,-4.018,-5.554,-1.129,-2.279,-0.651,4.74,-1.434,a
4.751,10.173,0.936,4.71,2.706,3.103,0.57,-4.13,3.235,-1.831,3.967,-0.671,1.455,-5.015,3.001,7.619,-4.303,5.005,-2.645,6.826,-0.722,0.031,-2.126,-0.977,-0.539,-4.649,-3.916,-2.462,-3.387,-5.503,-7.599,3.906,3.713,12.807,-0.641,-6.46,-5.941,3.255,9.247,-2.096,2.319,-1.2,-4.211,-1.719,2.492,-3.611,-0.397,2.614,-3.54,0.6,-3.52,-2.248,-2.004,2.645,-32.216,0.234,0.407,-3.53,-5.554,-0.641,-2.279,-0.651,4.74,-0.946,a
5.239,11.637,0.448,5.686,1.729,2.614,-0.407,-4.618,0.305,-1.343,-1.892,-0.671,0.478,-5.992,2.513,10.549,-2.838,4.517,-10.946,0.966,-0.722,1.007,-1.638,0,0.437,-4.161,-4.893,-1.485,-2.899,-5.992,-6.134,3.418,4.201,5.971,-1.129,-5.971,-5.941,5.697,10.223,-1.119,-0.122,0.753,-3.235,-2.696,1.027,1.272,0.092,1.638,-2.075,1.577,-3.031,-1.272,-1.516,2.157,12.705,0.722,-0.081,-2.553,-5.066,0.336,-1.79,-0.163,4.74,-0.458,a
5.727,9.684,-0.041,0.804,1.729,3.591,0.081,-3.153,-2.625,-0.366,-7.263,-0.183,-0.01,-4.038,1.536,12.014,-4.303,8.423,-12.41,6.826,0.254,1.495,-0.661,0.977,0.926,-2.696,-6.846,-0.997,-2.411,-5.015,-4.181,2.93,5.666,0.6,1.801,-3.53,-3.988,4.72,6.805,0.346,-2.563,2.706,0.183,-0.743,0.051,3.225,0.58,2.126,0.366,2.065,-2.055,-0.783,-2.004,3.621,-8.291,-17.344,-0.081,-1.577,-4.089,0.824,-0.814,0.326,5.229,0.519,a
5.727,4.801,-1.994,-6.521,3.194,5.056,1.058,0.264,-3.601,1.099,-10.681,0.793,-0.01,-1.597,1.536,12.014,0.58,-1.831,-0.203,-9.288,1.231,1.984,-0.173,0.977,0.926,-1.719,-8.311,-0.509,-2.411,-4.038,-3.204,2.441,5.666,-1.841,4.242,-0.112,-0.57,2.279,3.387,1.811,-4.517,4.171,3.601,2.187,0.539,2.736,0.58,3.591,1.831,2.553,-1.567,-1.272,0.437,-1.261,-9.267,-9.532,0.407,-1.577,-3.601,1.312,-0.326,0.814,5.229,0.519,a
4.751,-0.081,-3.947,-9.939,4.171,5.544,2.523,3.682,-3.601,2.563,-10.681,2.258,-0.01,-0.132,2.513,10.061,0.58,-3.784,-6.063,-6.846,0.254,1.984,-0.661,0.488,0.437,-0.743,-9.288,-0.997,-3.387,-4.038,-4.181,2.441,4.69,-2.818,3.754,2.33,1.872,0.326,2.411,2.299,-3.54,4.659,4.578,4.14,1.516,0.295,-0.885,5.056,0.854,3.042,-2.543,-1.272,0.926,-0.773,-1.455,-5.137,0.407,-2.065,-4.578,0.824,-1.302,0.814,4.252,-1.434,a
2.797,-2.523,-5.9,-7.985,3.682,4.567,2.523,5.147,-2.136,4.028,-7.263,2.747,-0.498,-1.109,2.024,6.643,22.552,-9.644,-4.11,-12.705,-0.234,2.472,-2.614,0.488,0.437,-0.743,-9.776,-1.973,-5.341,-4.527,-7.111,1.465,1.272,-4.771,-2.106,2.33,1.872,-0.163,2.899,2.299,-2.075,3.682,1.648,4.14,1.516,-1.17,-2.838,4.567,-1.587,4.018,-4.985,-1.272,7.762,-4.191,-9.267,-10.02,0.895,-3.042,-5.554,0.824,-2.279,0.814,2.787,-3.876,a
0.356,-1.546,-5.9,-2.126,1.729,2.614,1.546,3.682,-1.648,3.54,-3.845,2.258,-0.987,-3.55,-1.394,3.225,-13.092,-1.343,2.726,-4.893,-1.211,2.472,-4.567,0.488,-0.051,-0.743,-10.752,-2.95,-6.317,-5.992,-9.552,-0.488,-2.635,-8.189,-8.942,0.865,0.407,-2.116,3.387,1.322,-1.587,2.218,-3.235,1.699,1.027,-1.17,-5.28,3.103,-4.028,4.506,-7.914,-1.272,-3.957,-2.238,-17.08,-13.926,0.407,-4.506,-7.507,0.824,-3.743,0.326,0.346,-5.829,a
-1.109,0.895,-4.435,2.268,-0.224,1.149,-0.407,0.753,-2.625,1.587,-2.38,0.793,-1.963,-6.968,-7.253,1.272,-0.885,-0.366,-3.621,0.478,-1.211,1.984,-6.521,0,-0.539,-3.672,-11.729,-3.927,-6.805,-7.945,-11.017,-1.953,-4.588,-10.142,-12.36,-1.088,0.895,-5.046,0.946,-0.631,-3.052,0.264,-6.653,-0.743,-0.437,-1.17,-8.698,0.661,-5.005,3.042,-10.356,-1.76,-1.516,-1.75,-8.779,-9.532,-0.57,-5.483,-8.972,0.336,-4.232,0.814,-0.631,-5.341,a
-1.109,1.872,-1.506,2.757,-0.712,1.149,-1.872,-2.665,-4.578,-1.343,-3.357,-1.16,-1.963,-8.921,-13.601,1.76,4.974,-4.761,2.726,-8.311,-0.722,1.007,-7.009,-1.465,-1.027,-8.555,-11.729,-5.391,-6.805,-9.898,-11.505,-2.441,-4.1,-9.165,-9.918,-2.065,0.895,-6.51,-1.984,-3.56,-4.517,-2.177,-7.629,-2.207,-1.902,-3.611,-12.115,-0.315,-4.028,0.6,-11.332,-3.225,4.344,0.203,-2.92,-4.161,-1.058,-6.46,-9.949,-1.129,-4.232,0.326,-0.631,-3.387,a
-0.132,1.872,-0.041,0.315,0.264,1.149,-2.36,-4.13,-5.066,-3.784,-4.822,-2.136,-1.963,-8.921,-16.042,3.713,-5.768,1.099,-13.387,-0.498,0.254,-0.458,-6.521,-4.395,-2.492,-13.438,-10.264,-7.345,-7.294,-11.363,-11.017,-0.977,-0.682,-5.259,-3.082,-2.065,-2.035,-5.534,-1.984,-5.514,-4.028,-4.618,-6.653,-2.207,-2.391,-8.494,-15.533,0.173,-1.099,-2.33,-10.356,-6.154,0.437,3.133,-18.056,-7.579,-1.546,-7.436,-10.925,-3.082,-4.232,-0.163,0.346,-1.434,a
2.309,1.383,-0.041,-2.126,2.706,2.126,-1.383,-4.13,-3.601,-4.272,-4.333,-2.625,-0.498,-5.992,-14.577,7.131,-5.28,2.563,-16.317,-4.405,1.231,-2.411,-4.567,-6.348,-2.981,-15.391,-7.823,-8.321,-7.782,-11.851,-11.017,1.953,3.225,1.088,3.265,-1.577,-9.847,-3.581,1.923,-5.514,-1.099,-6.083,-4.7,-1.231,-0.926,-13.377,-16.022,1.638,1.343,-4.283,-6.938,-9.084,-3.957,0.692,-14.15,-8.067,-0.57,-8.413,-11.414,-4.547,-4.232,-0.163,2.787,-1.434,a
4.751,1.872,-2.482,-1.149,4.659,2.126,0.57,-2.177,0.305,-2.808,-0.916,-2.136,1.455,-2.085,-10.183,10.549,2.533,0.122,-13.387,-0.987,1.231,-2.899,-3.103,-7.812,-2.981,-13.926,-5.87,-8.321,-7.782,-11.363,-11.993,4.395,4.201,5.971,4.242,-2.065,-17.171,-2.116,6.805,-4.049,2.319,-5.107,-2.747,-0.254,1.516,-14.353,-14.069,3.103,2.319,-5.259,-3.52,-10.061,0.926,-0.285,-15.615,-13.926,-0.081,-8.413,-11.414,-5.035,-3.743,-0.163,4.74,-3.876,a
6.704,4.801,-3.947,3.245,5.636,2.126,2.523,0.264,4.211,-0.854,2.014,-0.671,2.92,2.309,-5.3,11.525,8.881,-2.319,-8.504,-5.381,0.743,-2.411,-2.126,-6.836,-2.004,-9.043,-5.87,-6.856,-7.294,-10.386,-11.993,4.883,2.248,8.901,1.801,-2.065,-16.195,-2.116,9.735,-1.119,3.784,-3.153,-0.305,1.211,3.957,-9.959,-9.186,4.567,1.343,-4.283,-2.055,-9.572,4.344,0.203,-14.638,-12.95,1.383,-7.436,-10.925,-4.547,-3.255,-0.651,6.205,-7.782,a
6.704,7.243,-3.947,8.616,6.124,3.591,3.988,2.218,5.676,1.099,2.502,1.282,3.408,3.286,-2.37,9.084,-1.373,-0.854,6.144,-6.846,-0.722,-1.434,-3.591,-4.883,-2.004,-5.625,-8.311,-5.88,-7.294,-9.898,-11.993,3.418,-1.17,8.901,-1.617,-1.577,-6.917,-0.651,8.759,1.322,2.808,-0.224,0.671,3.164,5.422,-4.1,-3.815,6.032,-1.587,-2.33,-4.008,-7.131,-0.051,-0.285,-13.662,-15.391,2.36,-6.948,-10.437,-3.082,-3.743,-0.651,6.205,-10.223,a
6.704,8.219,-1.994,12.522,6.612,6.521,4.964,4.171,5.188,2.563,-1.404,3.235,2.92,0.844,-1.394,5.178,2.045,1.099,1.75,4.384,-2.675,-0.458,-5.544,-3.418,-2.981,-5.625,-11.729,-6.368,-8.27,-9.898,-11.993,0.977,-2.635,6.46,-4.059,-0.112,4.801,2.279,7.294,2.299,0.366,0.753,-0.793,5.117,5.91,-0.682,-1.373,6.521,-5.005,-0.865,-7.914,-5.178,-0.051,-0.773,-39.052,-6.602,3.337,-7.436,-10.437,-3.082,-5.208,-1.139,6.205,-9.735,a
6.704,8.219,0.448,12.034,6.612,8.474,5.452,5.636,3.235,3.54,-5.31,4.211,2.431,-3.55,-1.394,2.248,-1.862,5.493,0.285,0.966,-3.652,-0.458,-8.474,-3.418,-4.445,-8.067,-14.659,-8.321,-9.247,-10.874,-12.482,0.488,0.295,4.506,-4.059,2.33,8.708,5.697,8.759,2.299,-1.587,0.264,-5.188,6.582,5.422,-1.658,-2.35,7.985,-6.47,0.112,-11.82,-4.69,-0.539,2.157,-1.943,5.605,3.825,-8.901,-11.414,-3.571,-6.185,-1.628,6.694,-6.317,a
7.68,8.708,1.912,8.128,7.1,8.962,5.452,6.124,1.77,4.028,-6.775,4.7,1.943,-6.968,-2.37,3.225,-0.397,3.052,1.75,-1.963,-4.14,-0.946,-10.427,-4.395,-6.399,-10.508,-15.635,-10.274,-11.2,-12.339,-14.435,2.93,6.154,3.53,-2.106,3.306,4.313,4.72,11.688,1.322,-1.099,-0.224,-8.606,6.582,4.445,-5.076,-4.791,8.474,-6.47,-0.376,-13.774,-5.666,-0.051,1.668,4.893,8.535,3.825,-10.854,-13.367,-5.035,-8.138,-2.116,7.67,-1.923,a
9.145,10.173,2.889,1.292,7.589,7.497,4.964,6.124,1.282,4.517,-2.869,3.723,1.943,-6.968,-2.37,9.572,0.092,-1.831,-1.18,2.92,-3.652,-1.923,-9.939,-5.859,-5.91,-10.508,-15.147,-9.786,-12.177,-13.316,-14.923,7.324,12.014,3.042,1.312,3.794,-2.523,0.326,12.665,0.346,0.366,0.264,-8.606,5.605,4.445,-7.029,-6.744,7.985,-4.517,-0.865,-12.797,-6.643,-0.539,-0.285,20.518,5.605,3.825,-10.854,-13.855,-5.524,-8.138,-2.116,9.623,2.96,a
10.122,11.149,2.889,-5.544,8.077,5.544,4.476,5.147,2.258,4.517,2.991,2.258,1.943,-3.55,-2.858,17.873,5.463,-0.366,11.027,-2.452,-2.187,-1.923,-7.985,-4.883,-3.957,-7.579,-12.217,-6.368,-10.712,-11.851,-12.97,11.719,14.455,3.042,5.219,4.283,-4.476,-5.046,9.247,-0.142,1.343,1.241,-3.235,4.14,3.957,-4.588,-4.791,7.497,-2.563,-0.376,-9.379,-6.154,1.414,-0.285,12.705,7.558,3.337,-8.901,-11.414,-4.547,-6.673,-1.628,10.6,6.378,a
10.122,10.661,3.866,-7.497,8.077,4.567,3.499,3.682,2.747,3.54,5.92,1.282,0.966,1.333,-2.37,23.244,3.998,3.54,10.539,1.943,-0.722,-0.458,-3.591,-1.465,-0.539,-2.696,-7.823,-0.997,-6.805,-7.456,-7.111,13.672,12.014,3.042,7.66,3.794,-2.035,-5.534,4.364,-0.142,0.854,1.729,4.089,3.652,3.957,-0.193,0.092,7.009,-0.61,1.088,-4.008,-3.225,0.926,1.668,0.987,7.558,2.36,-4.506,-6.531,-1.129,-3.743,-0.651,10.6,6.866,a
8.169,7.731,4.354,-2.614,7.589,4.567,3.011,2.706,2.747,2.563,3.479,0.793,0.478,3.774,-1.394,23.733,-1.373,8.911,-5.086,6.337,0.743,1.984,0.804,2.93,2.879,1.699,-1.475,4.374,-0.946,-0.132,0.702,12.207,7.619,3.53,7.172,3.306,0.407,-0.651,1.923,-0.142,-0.61,2.218,8.484,3.164,3.469,3.225,3.51,6.032,0.854,3.53,0.875,1.658,-3.469,1.668,7.334,-0.254,1.383,1.353,1.282,2.777,0.651,1.302,8.158,5.89,a
5.727,3.825,2.889,6.663,5.636,4.079,1.546,0.753,1.282,2.075,-2.869,0.793,-0.498,1.821,-0.905,17.385,-3.815,2.563,0.285,3.896,1.719,3.448,4.222,5.859,4.344,4.628,4.873,7.792,4.913,7.68,8.514,8.301,4.201,4.995,3.754,1.841,-0.57,5.697,3.387,-0.142,-1.587,2.218,6.042,2.675,2.004,3.225,3.998,4.567,1.831,5.483,4.293,5.564,-0.539,2.645,-2.92,12.441,0.407,5.747,9.094,5.219,4.069,2.279,5.229,3.448,a
2.797,1.383,0.936,13.499,3.194,4.079,0.57,0.264,-1.16,1.587,-7.751,0.793,-0.987,-3.55,-0.905,6.643,2.045,2.075,2.726,-0.01,2.207,3.937,5.686,6.836,4.832,5.605,9.267,9.257,7.843,13.54,13.397,3.418,2.736,6.46,-1.129,-0.6,-2.523,7.65,5.829,-0.631,-2.075,2.706,-0.305,1.699,0.539,0.783,1.068,3.103,1.831,5.483,5.269,6.541,1.414,1.18,-4.384,-3.184,-0.081,8.189,14.465,6.195,5.534,2.279,2.787,0.519,a
1.821,1.383,-2.482,13.011,0.264,3.103,-0.407,-0.224,-3.113,2.075,-8.24,0.793,-0.987,-7.945,-1.882,-4.1,4.486,4.028,4.191,4.384,2.207,3.448,5.198,5.859,3.855,5.605,10.732,8.769,8.331,15.493,13.885,-0.488,0.783,6.948,-4.547,-1.577,-1.058,5.208,4.364,-0.142,-1.587,3.682,-5.188,0.234,-0.926,-0.682,-2.35,1.149,1.343,4.506,3.805,5.564,0.437,-0.285,-16.103,-10.997,-0.57,8.677,15.93,5.219,5.046,2.279,1.322,-1.923,a
0.844,2.36,-4.924,6.175,-1.689,2.126,-1.872,0.264,-5.066,3.052,-5.31,0.305,-1.475,-6.968,-2.37,-9.959,5.951,-0.854,2.238,-2.94,2.207,2.472,3.245,4.395,3.367,4.628,7.802,6.327,6.378,13.54,10.956,-3.418,-1.658,5.483,-5.524,0.376,2.36,1.79,0.946,1.811,-2.075,4.659,-4.7,-1.231,-2.391,0.783,-2.838,-0.315,1.343,3.53,2.34,4.1,1.902,-2.238,-16.103,-2.207,-1.058,6.724,13.489,4.242,3.581,1.79,0.834,-3.387,a
0.844,2.848,-5.412,-2.126,-2.177,2.126,-2.36,1.241,-5.554,4.028,-2.869,0.305,-1.963,-0.132,-1.882,-8.982,10.345,-2.319,-3.621,-2.94,1.719,2.472,1.78,3.418,2.391,3.652,2.431,4.374,3.448,8.657,5.585,-3.418,-4.588,2.553,-3.571,4.771,4.313,3.255,-0.519,3.764,-3.052,5.636,-0.305,-1.231,-2.879,4.201,0.092,-0.315,1.831,3.53,0.875,3.611,5.32,0.203,7.823,-5.137,-0.57,3.794,8.606,3.265,2.116,1.79,0.834,-4.364,a
1.333,2.36,-3.947,-5.544,-1.2,3.103,-1.872,2.706,-4.578,5.005,-2.869,0.793,-1.963,8.657,0.559,-1.17,16.693,-2.808,-30.477,-3.916,1.231,1.984,0.804,2.93,1.902,2.187,-2.452,1.933,1.007,3.774,-0.275,-1.953,-5.564,-1.353,-2.106,8.677,2.848,7.161,1.923,3.764,-3.052,5.147,3.113,0.234,-2.391,6.643,2.045,0.661,1.343,4.506,0.387,3.123,5.809,-0.773,-14.638,0.234,-0.57,1.353,3.723,2.289,1.139,1.302,0.834,-4.364,a
1.333,0.895,-0.529,-1.638,0.753,4.079,-0.407,4.171,-1.648,5.493,-4.822,1.282,-0.987,14.516,2.024,8.108,-3.326,1.587,4.679,-2.452,1.231,1.984,0.804,2.441,0.926,1.211,-4.893,-0.02,-0.458,0.844,-4.181,0.488,-2.635,-4.283,-1.617,8.677,-0.081,8.138,6.317,1.811,-2.563,3.682,2.625,2.187,-0.437,6.643,0.58,2.614,0.854,4.506,-0.102,2.635,-1.027,-0.773,0.987,-0.254,-0.57,-1.088,-0.183,0.824,0.651,1.302,1.322,-3.876,a
2.309,0.407,2.889,4.222,3.682,4.079,1.546,4.171,1.77,5.005,-5.31,1.282,0.478,12.563,1.048,13.967,8.392,-0.854,3.215,-3.916,1.231,1.007,0.804,0.977,-0.539,-0.254,-4.893,-0.997,-1.923,-1.109,-5.157,2.93,3.713,-5.259,-1.129,5.259,-2.035,3.743,7.294,-1.607,0.366,1.729,-1.77,3.164,1.516,3.225,-3.326,4.079,1.343,3.042,-1.078,0.682,3.855,-0.285,-20.498,-5.137,0.407,-2.553,-2.136,-0.153,0.163,0.814,1.811,-2.899,a
3.286,0.895,4.842,4.71,6.124,3.103,3.011,2.706,4.7,2.563,-2.38,0.793,2.431,4.751,-1.882,13.967,-5.28,2.075,1.75,-0.498,1.719,0.031,-0.173,-0.977,-1.027,-2.207,-5.381,-1.973,-2.899,-2.085,-4.669,3.906,8.596,-4.283,-0.153,-0.6,-3.499,-4.069,2.899,-3.56,2.808,-0.712,-6.653,2.187,3.957,-0.682,-6.744,5.056,2.319,0.6,-2.543,-0.783,-0.539,1.668,-6.337,-8.067,1.383,-3.042,-2.625,-1.617,-0.814,0.326,3.276,-1.434,a
4.751,1.383,5.33,-1.638,6.612,2.614,3.011,0.753,5.188,-0.366,1.526,-0.183,3.408,-3.55,-4.812,9.572,-3.326,3.052,-8.016,-1.475,2.207,-1.434,-1.638,-2.441,-1.516,-4.649,-6.358,-1.973,-4.364,-2.574,-3.204,3.418,9.572,-3.306,1.312,-4.506,-3.988,-7.487,-1.495,-3.072,3.296,-2.177,-9.583,1.211,4.445,-3.611,-7.233,5.056,3.784,-1.841,-4.985,-2.736,-1.516,1.668,-4.384,-3.672,1.383,-3.042,-2.136,-2.106,-2.279,-0.163,4.252,0.519,a
5.239,3.337,4.354,-7.985,6.124,3.103,2.523,-0.224,3.723,-1.831,4.456,-0.671,2.92,-6.968,-5.3,5.666,3.021,6.47,-2.157,2.431,1.719,-1.923,-3.103,-2.93,-1.516,-7.09,-7.823,-2.462,-5.341,-3.062,-2.228,3.418,6.643,-0.865,2.777,-4.506,-4.964,-4.557,-0.519,-1.607,2.319,-2.665,-7.629,1.211,3.957,-4.588,-4.303,4.567,4.272,-2.33,-6.449,-3.713,0.926,1.18,-18.545,-6.114,1.383,-3.53,-2.625,-2.106,-3.255,-0.651,5.229,2.472,a
6.215,5.29,4.354,-6.521,5.636,4.079,2.035,0.264,1.282,-0.854,4.944,-0.183,1.943,-4.527,-2.858,7.131,-0.397,1.587,4.191,-3.916,0.743,-1.434,-4.567,-2.93,-2.004,-7.579,-7.334,-2.95,-5.341,-4.038,-3.693,4.883,4.201,1.577,2.777,-2.065,-4.476,2.279,5.829,0.346,0.854,-1.689,-2.747,2.187,2.981,-4.588,-1.373,4.567,2.808,-1.353,-6.938,-3.713,1.414,1.18,-28.31,3.652,1.383,-3.53,-3.601,-2.106,-4.232,-0.651,6.205,3.448,a
7.192,7.731,4.354,4.222,5.636,6.032,2.035,2.218,0.305,1.587,3.967,0.793,0.966,-0.621,-0.417,13.479,4.486,-9.644,-7.039,-6.846,-0.722,-0.946,-5.056,-2.441,-2.492,-5.625,-5.87,-4.415,-5.829,-5.015,-6.622,7.324,4.69,4.995,3.265,1.353,-1.546,6.673,12.177,1.322,0.366,0.753,4.089,3.164,2.492,-5.076,-0.885,5.056,-1.099,0.112,-6.449,-4.201,1.902,-2.726,0.01,-10.508,1.383,-4.995,-6.042,-2.594,-4.232,-1.139,7.182,2.96,a
8.169,10.173,3.866,18.382,5.636,7.497,3.011,3.682,0.793,4.517,3.967,2.747,0.966,-0.132,0.071,19.826,-4.791,-3.784,0.773,-6.358,-2.187,-0.946,-5.056,-2.93,-3.957,-4.161,-4.405,-5.88,-6.317,-5.992,-10.04,9.277,8.108,7.924,4.242,2.818,2.848,6.185,12.665,1.811,1.343,2.706,7.507,4.14,2.981,-5.076,-3.815,6.032,-4.028,1.088,-5.961,-4.201,-1.516,-1.261,-28.798,-7.09,2.36,-6.46,-7.996,-3.571,-4.72,-1.628,7.67,0.519,a
8.169,10.173,0.936,24.729,6.124,7.497,3.988,4.171,2.747,5.981,3.967,3.235,1.943,-3.062,-0.905,22.268,-2.35,-3.296,-5.086,-8.799,-2.675,-1.434,-4.567,-3.418,-4.934,-3.672,-4.893,-6.856,-7.294,-7.456,-12.482,9.766,9.572,8.413,5.707,3.306,5.778,2.767,8.27,1.322,2.319,3.682,7.019,3.652,3.957,-4.1,-6.744,6.521,-5.493,0.6,-4.985,-4.69,-0.539,-0.773,-8.291,-4.161,2.848,-7.436,-8.972,-4.547,-4.72,-2.116,7.67,-2.411,a
7.68,8.708,-2.97,17.893,5.636,6.032,3.499,2.706,3.235,5.005,2.991,2.258,1.943,-5.992,-2.858,19.338,0.58,-2.808,-1.668,-1.475,-2.187,-1.923,-4.079,-3.906,-4.445,-4.649,-6.846,-6.856,-7.782,-7.945,-11.993,7.324,7.131,4.995,6.195,2.818,5.29,1.302,4.852,-0.142,2.319,2.218,2.625,2.675,3.957,-3.611,-7.233,6.032,-4.028,-0.376,-4.008,-4.69,0.926,-1.261,-24.404,-3.672,2.848,-7.924,-8.972,-5.524,-4.72,-2.116,7.182,-3.876,a
6.704,5.778,-5.412,3.245,5.147,4.079,3.011,1.241,3.235,2.563,-0.916,0.793,1.943,-6.48,-2.858,14.455,-3.326,3.052,-1.668,-0.987,-1.211,-2.411,-3.591,-4.395,-3.957,-6.114,-9.288,-6.856,-7.782,-7.945,-9.552,4.883,3.713,0.112,4.73,2.33,3.337,0.814,6.805,-3.072,0.854,-1.2,-2.747,1.699,3.957,-2.146,-3.815,5.056,-1.099,-1.841,-3.52,-4.69,-2.492,1.18,-1.455,-14.903,2.36,-7.436,-7.507,-5.035,-4.72,-1.628,6.694,-2.899,a
